,timestamp,type,class,payload
0,1709474039605,EVENT,conveyor-healthy,true
1,1709474046196,EVENT,conveyor-healthy,true
2,1709474051937,EVENT,conveyor-healthy,true
3,1709474056815,EVENT,conveyor-healthy,true
4,1709474062997,EVENT,conveyor-healthy,true
5,1709474069072,EVENT,conveyor-healthy,true
6,1709474074688,EVENT,conveyor-healthy,true
7,1709474080185,EVENT,conveyor-healthy,true
8,1709474085863,EVENT,conveyor-healthy,true
9,1709474092529,EVENT,conveyor-healthy,true
10,1709474098308,EVENT,conveyor-healthy,true
11,1709474103469,EVENT,conveyor-healthy,true
12,1709474109230,EVENT,conveyor-healthy,true
13,1709474115655,EVENT,conveyor-healthy,true
14,1709474122070,EVENT,conveyor-healthy,true
15,1709474127604,EVENT,conveyor-healthy,true
16,1709474133553,EVENT,conveyor-healthy,true
17,1709474139038,EVENT,conveyor-healthy,true
18,1709474144679,EVENT,conveyor-healthy,true
19,1709474150058,EVENT,conveyor-healthy,true
20,1709474156043,EVENT,conveyor-healthy,true
21,1709474162159,EVENT,conveyor-healthy,true
22,1709474167848,EVENT,conveyor-healthy,true
23,1709474173404,EVENT,conveyor-healthy,true
24,1709474180116,EVENT,conveyor-healthy,true
25,1709474185480,EVENT,conveyor-healthy,true
26,1709474191313,EVENT,conveyor-healthy,true
27,1709474196748,EVENT,conveyor-healthy,true
28,1709474203756,EVENT,conveyor-healthy,true
29,1709474209845,EVENT,conveyor-healthy,true
30,1709474215423,EVENT,conveyor-healthy,true
31,1709474222068,EVENT,conveyor-healthy,true
32,1709474228467,EVENT,conveyor-healthy,true
33,1709474233734,EVENT,conveyor-healthy,true
34,1709474240067,EVENT,conveyor-healthy,true
35,1709474247775,EVENT,conveyor-healthy,true
36,1709474253625,EVENT,conveyor-healthy,true
37,1709474259007,EVENT,conveyor-healthy,true
38,1709474264041,EVENT,conveyor-healthy,true
39,1709474270313,EVENT,conveyor-healthy,true
40,1709474275872,EVENT,conveyor-healthy,true
41,1709474280747,EVENT,conveyor-healthy,true
42,1709474286541,EVENT,conveyor-healthy,true
43,1709474293378,EVENT,conveyor-healthy,true
44,1709474298101,EVENT,conveyor-healthy,true
45,1709474303304,EVENT,conveyor-healthy,true
46,1709474309145,EVENT,conveyor-healthy,true
47,1709474315550,EVENT,conveyor-healthy,true
48,1709474320754,EVENT,conveyor-healthy,true
49,1709474326158,EVENT,conveyor-healthy,true
50,1709474332425,EVENT,conveyor-healthy,true
51,1709474337801,EVENT,conveyor-healthy,true
52,1709474342878,EVENT,conveyor-healthy,true
53,1709474350288,EVENT,conveyor-healthy,true
54,1709474356824,EVENT,conveyor-healthy,true
55,1709474362250,EVENT,conveyor-healthy,true
56,1709474367728,EVENT,conveyor-healthy,true
57,1709474372895,EVENT,conveyor-healthy,true
58,1709474379265,EVENT,conveyor-healthy,true
59,1709474384295,EVENT,conveyor-healthy,true
60,1709474388942,EVENT,conveyor-healthy,true
61,1709474393925,EVENT,conveyor-healthy,true
62,1709474399452,EVENT,conveyor-healthy,true
63,1709474406170,EVENT,conveyor-healthy,true
64,1709474411110,EVENT,conveyor-healthy,true
65,1709474416107,EVENT,conveyor-healthy,true
66,1709474422058,EVENT,conveyor-healthy,true
67,1709474429090,EVENT,conveyor-healthy,true
68,1709474436467,EVENT,conveyor-healthy,true
69,1709474441428,EVENT,conveyor-healthy,true
70,1709474448535,EVENT,conveyor-healthy,true
71,1709474454214,EVENT,conveyor-healthy,true
72,1709474460581,EVENT,conveyor-healthy,true
73,1709474466856,EVENT,conveyor-healthy,true
74,1709474472960,EVENT,conveyor-healthy,true
75,1709474479122,EVENT,conveyor-healthy,true
76,1709474484571,EVENT,conveyor-healthy,true
77,1709474492485,EVENT,conveyor-healthy,true
78,1709474498487,EVENT,conveyor-healthy,true
79,1709474504185,EVENT,conveyor-healthy,true
80,1709474509607,EVENT,conveyor-healthy,true
81,1709474516316,EVENT,conveyor-healthy,true
82,1709474523657,EVENT,conveyor-healthy,true
83,1709474528853,EVENT,conveyor-healthy,true
84,1709474535488,EVENT,conveyor-healthy,true
85,1709474540895,EVENT,conveyor-healthy,false
86,1709474541618,EVENT,conveyor-action,Medium
87,1709474541622,ACTION,conveyor-action,Medium
88,1709474545859,EVENT,conveyor-healthy,false
89,1709474550449,EVENT,conveyor-healthy,false
90,1709474555454,EVENT,conveyor-healthy,false
91,1709474560323,EVENT,conveyor-healthy,false
92,1709474566087,EVENT,conveyor-healthy,false
93,1709474570881,EVENT,conveyor-healthy,false
94,1709474576128,EVENT,conveyor-healthy,false
95,1709474580861,EVENT,conveyor-healthy,false
96,1709474585765,EVENT,conveyor-healthy,false
0,1709474587681,EVENT,conveyor-piece-at-exit,true
2,1709474587683,ACTION,conveyor-action,true
1,1709474587691,EVENT,conveyor-action,true
97,1709474591475,EVENT,conveyor-healthy,false
98,1709474597990,EVENT,conveyor-healthy,false
99,1709474602761,EVENT,conveyor-healthy,false
100,1709474608895,EVENT,conveyor-healthy,false
101,1709474614068,EVENT,conveyor-healthy,false
102,1709474618849,EVENT,conveyor-healthy,false
103,1709474623893,EVENT,conveyor-healthy,false
104,1709474629052,EVENT,conveyor-healthy,false
105,1709474634134,EVENT,conveyor-healthy,false
106,1709474639011,EVENT,conveyor-healthy,false
107,1709474644006,EVENT,conveyor-healthy,false
