timestamp,property,value
1709474039605,conveyor-health,true
1709474046196,conveyor-health,true
1709474051937,conveyor-health,true
1709474056815,conveyor-health,true
1709474062997,conveyor-health,true
1709474069072,conveyor-health,true
1709474074688,conveyor-health,true
1709474080185,conveyor-health,true
1709474085863,conveyor-health,true
1709474092529,conveyor-health,true
1709474098308,conveyor-health,true
1709474103469,conveyor-health,true
1709474109230,conveyor-health,true
1709474115655,conveyor-health,true
1709474122070,conveyor-health,true
1709474127604,conveyor-health,true
1709474133553,conveyor-health,true
1709474139038,conveyor-health,true
1709474144679,conveyor-health,true
1709474150058,conveyor-health,true
1709474156043,conveyor-health,true
1709474162159,conveyor-health,true
1709474167848,conveyor-health,true
1709474173404,conveyor-health,true
1709474180116,conveyor-health,true
1709474185480,conveyor-health,true
1709474191313,conveyor-health,true
1709474196748,conveyor-health,true
1709474203756,conveyor-health,true
1709474209845,conveyor-health,true
1709474215423,conveyor-health,true
1709474222068,conveyor-health,true
1709474228467,conveyor-health,true
1709474233734,conveyor-health,true
1709474240067,conveyor-health,true
1709474247775,conveyor-health,true
1709474253625,conveyor-health,true
1709474259007,conveyor-health,true
1709474264041,conveyor-health,true
1709474270313,conveyor-health,true
1709474275872,conveyor-health,true
1709474280747,conveyor-health,true
1709474286541,conveyor-health,true
1709474293378,conveyor-health,true
1709474298101,conveyor-health,true
1709474303304,conveyor-health,true
1709474309145,conveyor-health,true
1709474315550,conveyor-health,true
1709474320754,conveyor-health,true
1709474326158,conveyor-health,true
1709474332425,conveyor-health,true
1709474337801,conveyor-health,true
1709474342878,conveyor-health,true
1709474350288,conveyor-health,true
1709474356824,conveyor-health,true
1709474362250,conveyor-health,true
1709474367728,conveyor-health,true
1709474372895,conveyor-health,true
1709474379265,conveyor-health,true
1709474384295,conveyor-health,true
1709474388942,conveyor-health,true
1709474393925,conveyor-health,true
1709474399452,conveyor-health,true
1709474406170,conveyor-health,true
1709474411110,conveyor-health,true
1709474416107,conveyor-health,true
1709474422058,conveyor-health,true
1709474429090,conveyor-health,true
1709474436467,conveyor-health,true
1709474441428,conveyor-health,true
1709474448535,conveyor-health,true
1709474454214,conveyor-health,true
1709474460581,conveyor-health,true
1709474466856,conveyor-health,true
1709474472960,conveyor-health,true
1709474479122,conveyor-health,true
1709474484571,conveyor-health,true
1709474492485,conveyor-health,true
1709474498487,conveyor-health,true
1709474504185,conveyor-health,true
1709474509607,conveyor-health,true
1709474516316,conveyor-health,true
1709474523657,conveyor-health,true
1709474528853,conveyor-health,true
1709474535488,conveyor-health,true
1709474540895,conveyor-health,false
1709474545859,conveyor-health,false
1709474550449,conveyor-health,false
1709474555454,conveyor-health,false
1709474560323,conveyor-health,false
1709474566087,conveyor-health,false
1709474570881,conveyor-health,false
1709474576128,conveyor-health,false
1709474580861,conveyor-health,false
1709474585765,conveyor-health,false
1709474591475,conveyor-health,false
1709474597990,conveyor-health,false
1709474602761,conveyor-health,false
1709474608895,conveyor-health,false
1709474614068,conveyor-health,false
1709474618849,conveyor-health,false
1709474623893,conveyor-health,false
1709474629052,conveyor-health,false
1709474634134,conveyor-health,false
1709474639011,conveyor-health,false
1709474644006,conveyor-health,false
