timestamp,value
1709473993329,"[0.06145544216026119, 0.07384408418379779, 0.08445744421114317, 0.04508140045900594]"
1709473994354,"[0.06136075980272448, 0.07560876995947072, 0.0828368084379122, 0.045118365154547535]"
1709473995369,"[0.06166482738414932, 0.07327862688607763, 0.08487924215049512, 0.04417222520630746]"
1709473996420,"[0.06194389374481137, 0.07459290004394699, 0.0826263001123098, 0.044658577078957803]"
1709473997471,"[0.06123052883441498, 0.07417159040968728, 0.08202192489867637, 0.0438400800820339]"
1709473998488,"[0.06227974998779191, 0.07580775428487717, 0.08437228380291958, 0.0442722300893584]"
1709473999503,"[0.05989027784559737, 0.0751147516968594, 0.08450603056789824, 0.04397397333854041]"
1709474000527,"[0.06237125836222416, 0.07550495629669339, 0.08223799990233874, 0.04417080912153785]"
1709474001540,"[0.06083705259045822, 0.07464759021436533, 0.08055198007715209, 0.04360154304409258]"
1709474002552,"[0.06109014112017134, 0.07483221837003735, 0.08078705014893349, 0.043524488500413926]"
1709474003565,"[0.06259866204404413, 0.07548815860149384, 0.08062556765467017, 0.044679281214901986]"
1709474004579,"[0.06234069046340073, 0.07560125006103757, 0.08039816397284996, 0.044245519800769774]"
1709474005593,"[0.06162976707847048, 0.07528429122515723, 0.08099931637286957, 0.04468836368963167]"
1709474006607,"[0.061884955320083805, 0.07599184530494661, 0.08330416524244287, 0.04454856194149975]"
1709474007623,"[0.06124630108892012, 0.07403252111919466, 0.08016592607060845, 0.043482103618339686]"
1709474008638,"[0.06147629278773367, 0.07533194980223569, 0.08176219541969808, 0.044156159968747145]"
1709474009651,"[0.06184325406513929, 0.07581947360710942, 0.08151184139850559, 0.04355427511108798]"
1709474010656,"[0.06221309634259428, 0.0759205527613651, 0.08089569803213054, 0.043924801015672824]"
1709474011667,"[0.06262576297670744, 0.07640636749841274, 0.08229376434396181, 0.043765808877385355]"
1709474012683,"[0.06251403877142421, 0.07490766150690953, 0.08181249084427897, 0.04342741344792116]"
1709474013697,"[0.06260691440011662, 0.07650100102544034, 0.08113311196835775, 0.04504121294984937]"
1709474014713,"[0.06244855705845013, 0.07664822501098695, 0.08357327017920721, 0.044517115093509356]"
1709474015727,"[0.061328873480149676, 0.075141950290541, 0.08256545729771915, 0.04414287807021669]"
1709474016742,"[0.06145202402461037, 0.07666233702817458, 0.08087235704868433, 0.04386727867571524]"
1709474017756,"[0.06127867571658738, 0.07556155085697537, 0.08216592607060814, 0.044179793935249616]"
1709474018778,"[0.06190634308315825, 0.0751534742907366, 0.08251682211045452, 0.043844572488889844]"
1709474019788,"[0.06188978954050451, 0.07588436935397207, 0.08026402656379703, 0.04373260413105965]"
1709474020792,"[0.0617283558767513, 0.0756454905024654, 0.08135905073489866, 0.043278187411493176]"
1709474021798,"[0.0632109478001852, 0.07551774989013156, 0.08134772205674126, 0.045092338493089114]"
1709474022805,"[0.06069144001171898, 0.07611431222227626, 0.08006855803506024, 0.04403042140729397]"
1709474023829,"[0.06227061868255216, 0.07644362517701023, 0.08200849650861862, 0.04452233995800438]"
1709474024838,"[0.061526783534351634, 0.07732325797158054, 0.08342111431222181, 0.04420699252893071]"
1709474025851,"[0.061508618584891164, 0.07580379901362372, 0.07935548610772002, 0.044174520240244805]"
1709474026866,"[0.06063054836661861, 0.07618570242687585, 0.08223721861418978, 0.04436876800624884]"
1709474027883,"[0.06268416426583262, 0.07653127594120746, 0.08133273109038486, 0.04479032179305494]"
1709474028896,"[0.061219151325748344, 0.07574818106352878, 0.08236495922652431, 0.04437555544704195]"
1709474029908,"[0.061413106108696276, 0.07675887494506509, 0.0816819180624055, 0.04503310708530582]"
1709474030921,"[0.06158030177254735, 0.07701704184774666, 0.08199179647443687, 0.04467517945212035]"
1709474031934,"[0.06191654865960157, 0.0758276283021633, 0.08108384198447166, 0.04419200156257491]"
